x,y
0,611
0,642
0,225
0,554
0,176
0,236
0,214
0,997
0,425
0,344
0,369
0,294
0,126
0,710
0,402
0,258
0,739
0,444
0,184
0,186
0,674
0,225
0,296
0,401
0,348
0,749
0,389
0,456
0,571
0,211
0,815
0,712
0,835
0,586
0,699
0,403
0,985
0,344
0,219
0,908
0,655
0,211
0,932
0,846
0,481
0,800
0,345
0,337
0,175
0,125
0,567
0,683
0,389
0,290
0,510
0,492
0,899
0,572
0,357
0,561
0,355
0,323
0,960
0,136
0,338
0,172
0,742
0,538
0,364
0,746
0,897
0,665
0,400
0,830
0,116
0,745
0,60
0,192
0,258
0,945
0,478
0,509
0,122
0,594
0,754
0,51
0,640
0,966
0,457
0,346
0,712
0,982
0,40
0,873
0,691
0,377
0,421
0,355
0,68
0,693
0,973
0,652
0,613
0,512
0,576
0,408
0,968
0,261
0,316
0,780
0,913
0,745
0,517
0,436
0,411
0,79
0,190
0,439
0,257
0,42
0,447
0,809
0,413
0,825
0,188
0,288
0,232
0,605
0,638
0,653
0,458
0,372
0,719
0,104
0,776
0,126
0,43
0,279
0,449
0,259
0,293
0,686
0,586
0,696
0,435
0,704
0,208
0,49
0,813
0,743
0,64
0,362
0,563
0,530
0,404
0,657
0,455
0,239
0,878
0,635
0,358
0,499
0,6
0,575
0,173
0,869
0,86
0,484
0,699
0,681
0,708
0,691
0,965
0,136
0,953
0,852
0,417
0,7
0,442
0,912
0,353
0,712
0,398
0,566
0,515
0,239
0,94
0,833
0,347
0,763
0,513
0,878
0,699
0,670
0,158
0,167
0,864
0,989
0,933
0,366
0,364
0,183
0,207
0,777
0,30
0,325
0,526
0,60
0,190
0,201
0,60
0,631
0,816
0,251
0,289
0,872
0,775
0,563
0,863
0,989
0,301
0,748
0,257
0,280
0,146
0,35
0,941
0,273
0,214
0,69
0,112
0,221
0,457
0,355
0,749
0,988
0,734
0,324
0,180
0,108
0,357
0,356
0,991
0,420
0,492
0,585
0,131
0,443
0,442
0,618
0,777
0,302
0,142
0,490
0,617
0,96
0,439
0,961
0,661
0,694
0,546
0,374
0,275
0,59
0,718
0,894
0,569
0,415
0,160
0,975
0,777
0,925
0,509
0,1000
0,290
0,110
0,11
0,997
0,634
0,619
0,539
0,333
0,552
0,886
0,503
