x,y
1,5711
1,9137
1,3638
1,5187
1,6710
1,7480
1,3493
1,3821
1,2141
1,1616
1,6196
1,3271
1,1517
1,896
1,6189
1,7291
1,2156
1,2681
1,5151
1,7404
1,5971
1,6185
1,6562
1,2568
1,8882
1,8635
1,6299
1,9980
1,3454
1,6854
1,9910
1,2291
1,9700
1,356
1,805
1,3996
1,4871
1,7310
1,8889
1,7567
1,2377
1,7705
1,6579
1,7029
1,3326
1,1679
1,6964
1,1447
1,5985
1,6469
1,779
1,6710
1,3925
1,5168
1,4583
1,576
1,5456
1,785
1,3821
1,5974
1,5863
1,5755
1,8372
1,8670
1,4205
1,4956
1,5875
1,1310
1,1273
1,7560
1,6557
1,1223
1,9718
1,3778
1,6300
1,3152
1,3983
1,8820
1,4815
1,4320
1,6056
1,6362
1,2864
1,7277
1,9876
1,8648
1,4956
1,5509
1,1726
1,7944
1,5653
1,5655
1,5423
1,2652
1,393
1,8399
1,4321
1,1949
1,2533
1,2038
1,6797
1,5940
1,7153
1,4132
1,4677
1,2632
1,5062
1,5639
1,8539
1,5584
1,6789
1,8992
1,5102
1,7959
1,6599
1,8521
1,1185
1,9419
1,2498
1,8338
1,2973
1,9865
1,2027
1,8381
1,3606
1,9926
1,4546
1,9640
1,7744
1,670
1,3315
1,1623
1,9819
1,7972
1,2988
1,5777
1,624
1,1950
1,9240
1,174
1,1695
1,550
1,7989
1,6385
1,1545
1,6394
1,8990
1,5789
1,7942
1,7701
1,3278
1,3234
1,3413
1,8428
1,8152
1,9239
1,4643
1,7702
1,2657
1,1227
1,3728
1,7631
1,5585
1,5352
1,9084
1,4941
1,1281
1,5579
1,4654
1,9070
1,5580
1,4610
1,4541
1,5096
1,899
1,605
1,4280
1,9991
1,757
1,3721
1,2634
1,1623
1,3393
1,4258
1,7463
1,4673
1,7733
1,159
1,1585
1,4410
1,2352
1,7886
1,60
1,2683
1,446
1,3968
1,9876
1,4977
1,8228
1,9990
1,9410
1,6330
1,5476
1,7136
1,294
1,1873
1,8442
1,8057
1,233
1,3519
1,4911
1,9530
1,5804
1,4246
1,3617
1,3132
1,8395
1,6950
1,8256
1,3354
1,2639
1,839
1,7405
1,2365
1,4496
1,8126
1,5832
1,7562
1,8173
1,9837
1,1390
1,86
1,4196
1,4824
1,6857
1,5317
1,2224
1,2590
1,4189
1,406
1,8133
1,2729
1,3685
1,7116
1,5046
1,7448
1,121
1,8249
1,8135
1,4160
1,545
1,930
1,1067
1,5953
1,6636
1,8892
1,4594
1,238
1,1283
1,6265
1,6266
1,4985
1,2926
1,1117
1,4138
1,2254
1,1455
1,7571
1,3897
1,3526
1,2017
1,1690
1,669
1,4478
1,6553
1,6001
1,8525
1,1031
1,203
1,891
1,3154
1,2645
1,1607
