x,y
0,381
0,691
0,121
0,808
0,332
0,950
0,449
0,967
0,980
0,837
0,617
0,208
0,615
0,723
0,51
0,362
0,117
0,839
0,985
0,781
0,641
0,696
0,438
0,503
0,598
0,583
0,189
0,354
0,585
0,529
0,336
0,426
0,676
0,166
0,716
0,773
0,531
0,385
0,574
0,29
0,853
0,912
0,279
0,766
0,362
0,257
0,553
0,508
0,507
0,273
0,233
0,497
0,990
0,661
0,733
0,216
0,654
0,186
0,986
0,313
0,921
0,677
0,508
0,682
0,200
0,848
0,197
0,567
0,469
0,455
0,3
0,372
0,966
0,142
0,267
0,165
0,588
0,418
0,356
0,568
0,266
0,372
0,906
0,58
0,996
0,752
0,97
0,300
0,21
0,443
0,257
0,809
0,319
0,602
0,85
0,463
0,911
0,310
0,642
0,617
0,156
0,393
0,859
0,770
0,464
0,625
0,547
0,439
0,727
0,477
0,912
0,341
0,625
0,303
0,678
0,694
0,796
0,511
0,776
0,845
0,403
0,128
0,916
0,18
0,910
0,684
0,977
0,764
0,325
0,235
0,64
0,220
0,302
0,41
0,827
1,247
0,985
0,695
0,165
0,36
0,943
0,494
0,296
0,539
0,146
0,57
0,78
0,96
0,17
0,17
0,62
0,254
0,451
0,917
0,62
0,871
0,117
0,419
0,160
0,840
0,903
0,482
0,937
0,985
0,13
0,96
1,170
0,385
0,832
0,786
0,489
0,21
0,451
0,519
0,453
0,156
0,968
0,142
0,762
0,170
0,909
0,484
0,947
0,283
0,563
0,569
0,109
0,491
0,127
0,931
0,835
0,614
0,66
0,757
0,653
0,439
0,838
0,105
0,381
0,624
0,223
0,219
0,39
0,388
0,605
0,350
0,939
0,644
0,654
0,288
0,208
0,655
0,57
0,166
0,1
0,199
0,820
0,434
0,969
0,680
0,473
0,286
0,688
0,729
0,543
0,863
0,262
0,342
0,923
0,614
0,901
0,671
0,167
0,505
0,117
0,909
0,665
0,701
0,778
0,780
0,436
0,739
0,573
0,587
0,466
0,586
0,83
0,849
0,474
0,628
0,743
0,18
0,916
0,629
0,320
0,785
0,943
0,962
0,600
0,82
0,939
0,466
0,1000
0,677
0,425
0,793
0,116
0,437
0,966
0,807
0,327
0,262
0,579
0,337
0,913
0,948
0,399
0,247
0,693
0,805
0,948
0,745
0,640
0,90
0,121
0,384
0,384
0,426
0,585
0,733
0,640
0,901
0,922
0,126
0,962
0,732
0,657
0,760
0,923
0,891
0,667
0,34
0,587
0,797
0,658
0,426
0,862
0,683
0,785
0,392
0,419
0,652
0,463
0,684
0,40
0,576
0,325
0,964
0,8
0,655
0,4
0,448
0,344
0,678
0,728
0,999
0,213
0,76
0,695
0,235
0,445
0,13
0,106
0,509
0,972
0,175
0,256
0,464
0,609
0,286
0,725
0,345
0,905
0,23
0,883
0,775
0,701
0,299
0,83
0,347
0,874
0,392
0,368
0,61
0,337
0,272
0,221
0,235
0,851
0,153
0,307
0,912
0,919
0,478
0,112
0,846
0,592
0,142
0,789
0,52
0,677
0,721
0,566
0,910
0,559
0,422
0,553
0,726
0,825
0,109
0,289
0,888
0,775
0,465
0,847
0,953
0,426
0,765
0,243
0,163
0,158
0,136
0,21
0,193
0,882
0,477
0,632
0,485
0,688
0,54
0,866
0,378
0,428
0,147
0,109
0,965
0,918
0,113
0,351
0,477
0,210
0,909
0,944
0,901
0,382
1,385
0,243
0,799
0,161
0,240
0,961
0,307
0,521
0,733
0,958
0,68
0,316
0,262
0,632
0,294
0,851
0,496
0,495
0,953
0,255
0,271
0,759
0,824
0,397
0,927
0,955
0,644
0,626
0,547
0,238
0,408
0,557
0,250
0,913
0,440
0,184
0,874
0,212
0,50
0,125
0,745
0,283
0,572
0,335
0,285
0,480
0,436
0,902
0,713
0,452
0,40
0,762
0,985
0,816
0,251
0,314
0,255
0,968
0,143
0,501
0,527
0,846
0,672
0,540
0,866
0,521
0,414
0,22
0,788
0,51
0,840
0,890
0,746
0,987
0,648
0,943
0,915
0,545
0,541
0,427
0,25
0,135
0,277
0,582
0,948
0,752
0,996
0,237
0,302
0,156
0,530
0,12
0,507
0,152
0,820
0,407
0,83
0,93
0,765
0,703
0,763
0,101
0,733
0,920
0,692
0,50
0,429
0,113
0,816
0,463
0,861
0,460
0,631
0,391
0,156
0,333
0,646
0,442
0,633
0,171
0,736
0,997
0,380
0,522
0,904
0,413
0,67
0,256
0,554
0,179
0,225
0,415
0,732
0,385
0,114
0,616
0,218
0,284
0,969
0,98
0,237
0,931
0,789
0,332
0,649
0,247
0,322
0,60
0,295
0,370
0,277
0,251
0,932
0,364
0,674
0,775
0,594
0,874
0,327
0,144
0,342
0,163
0,89
0,175
0,897
0,252
0,469
0,886
0,629
0,901
0,588
0,537
0,855
0,779
0,454
0,304
0,939
0,278
0,927
0,517
0,800
0,757
0,21
0,872
0,817
0,348
0,200
0,664
0,312
0,890
0,952
0,476
0,276
0,325
0,385
0,657
0,170
0,920
0,259
0,158
0,425
0,335
0,336
0,87
0,255
0,17
0,809
0,502
0,718
0,677
0,499
0,723
0,874
0,220
0,801
0,325
0,853
0,341
0,9
0,445
0,260
0,890
0,641
0,558
0,835
0,901
0,617
0,742
0,506
0,259
0,416
0,859
0,303
0,694
0,930
0,735
0,958
0,890
0,498
0,54
0,500
0,919
0,590
0,736
1,763
0,525
0,686
0,195
0,827
0,11
0,740
0,326
0,662
0,645
0,973
0,377
0,760
0,373
0,483
0,398
0,885
0,438
0,223
0,172
0,522
0,161
0,275
0,388
0,598
0,464
0,993
0,483
0,30
0,647
0,412
0,727
0,304
0,709
0,509
0,512
0,643
0,759
0,826
0,822
0,219
0,494
0,239
0,477
0,312
0,862
0,194
0,201
0,399
0,613
0,23
0,694
0,233
0,777
0,814
0,212
0,413
0,470
0,912
1,571
0,543
0,185
0,413
0,285
0,289
0,469
0,475
0,577
0,771
0,899
0,889
0,239
0,64
0,488
0,672
0,275
0,461
0,680
0,395
0,245
0,755
0,313
0,697
0,982
0,512
0,171
1,749
0,307
0,997
0,941
0,867
0,637
0,833
0,202
0,262
0,962
0,903
0,470
0,958
0,151
0,163
0,955
0,837
0,902
0,33
0,668
0,763
0,811
0,859
0,688
0,5
0,348
0,36
0,355
0,747
0,630
0,901
0,122
0,776
0,639
0,337
0,162
0,857
0,190
0,332
0,674
0,812
0,83
0,420
0,307
0,466
0,894
0,915
0,966
0,210
1,916
0,976
0,932
0,840
0,652
0,543
0,840
0,114
0,825
0,437
0,238
0,360
0,313
0,355
0,89
0,610
0,400
0,766
0,111
0,532
0,512
0,808
0,955
0,421
0,890
1,628
0,279
0,862
0,367
0,425
0,856
0,321
0,24
0,104
0,520
0,351
0,660
0,464
0,482
0,444
0,350
0,886
0,649
0,871
0,930
0,133
0,925
0,580
0,460
0,168
0,968
0,939
0,350
0,551
0,427
0,828
0,786
0,331
1,87
0,950
0,87
0,750
0,615
0,219
0,186
0,215
0,243
0,951
0,999
0,624
0,41
0,133
0,488
0,875
0,429
0,801
0,307
0,710
0,824
0,208
0,163
0,336
0,981
1,619
0,169
0,675
0,578
0,972
0,660
0,137
0,462
0,817
0,886
0,537
0,854
0,717
0,769
0,93
0,250
0,698
0,222
0,212
0,981
0,9
0,830
0,578
0,940
0,662
0,734
0,503
0,246
0,300
0,927
0,286
0,878
0,69
0,142
0,101
0,543
0,200
0,137
0,862
0,971
0,452
0,177
0,2
0,32
0,563
0,70
0,721
0,796
0,799
0,37
0,329
0,782
0,103
0,267
0,698
0,915
0,139
0,871
0,164
0,626
0,586
0,931
0,725
0,865
0,578
0,99
0,400
0,367
0,886
0,100
0,710
0,136
0,537
0,21
0,981
0,191
0,290
0,977
0,121
0,439
0,772
0,495
0,259
0,549
0,402
0,50
0,583
0,708
0,536
0,229
0,1000
0,981
0,918
0,310
0,239
0,983
0,411
0,327
0,864
0,220
0,116
0,384
0,602
0,403
0,937
0,503
0,687
0,739
0,574
0,466
0,952
0,812
0,809
0,363
0,775
0,557
0,774
0,16
0,32
0,160
0,960
0,860
0,560
0,183
0,407
0,620
0,597
0,623
0,263
0,74
0,497
0,816
0,55
0,634
0,562
0,795
0,67
0,483
0,807
0,670
0,681
0,687
0,723
0,371
0,220
0,219
0,664
0,458
0,357
0,296
0,966
0,892
0,239
0,556
0,114
0,570
0,901
0,475
0,353
0,144
0,611
0,777
0,760
0,418
0,835
0,139
0,840
0,455
0,982
0,765
0,573
0,873
0,862
0,652
0,981
0,765
0,350
0,654
0,470
0,169
0,22
0,690
0,181
0,908
0,536
0,262
0,706
0,336
0,161
0,829
0,223
0,717
0,647
0,183
0,130
0,34
0,214
0,704
0,944
0,114
0,682
0,524
0,750
0,339
0,367
0,179
0,179
0,997
0,570
0,558
0,543
0,583
0,566
0,306
0,7
0,825
0,847
0,679
0,949
0,921
0,292
0,892
0,370
0,103
0,933
0,517
0,287
0,96
0,289
0,647
0,386
0,118
0,637
0,909
0,761
0,699
0,886
0,626
0,360
0,498
0,572
0,499
0,286
0,518
0,578
0,435
0,12
0,69
0,391
0,670
0,398
0,632
0,953
0,446
0,742
0,376
0,595
0,772
0,958
0,370
0,420
0,696
0,799
0,2
0,951
0,101
0,268
0,195
0,252
1,501
0,550
0,415
0,809
0,781
0,848
0,103
0,241
0,88
0,915
0,68
0,946
0,717
0,731
0,465
0,179
0,56
0,173
0,699
0,848
0,607
0,456
0,802
0,433
0,490
0,927
0,857
0,103
0,130
0,543
0,183
0,158
0,448
0,509
0,910
0,618
0,42
0,615
0,153
0,60
0,469
0,430
0,936
0,512
0,146
0,128
0,469
0,512
0,811
0,559
0,13
0,566
0,136
0,827
1,773
0,578
0,839
0,83
0,607
0,151
0,532
0,669
0,550
0,804
0,743
0,594
0,840
0,984
0,325
0,229
0,636
0,902
0,348
0,32
0,94
0,211
0,932
0,571
0,595
0,413
0,586
0,849
0,645
1,120
0,275
0,23
0,446
0,884
0,474
0,659
0,361
0,943
0,698
0,830
0,869
0,488
0,47
0,544
0,971
0,532
0,376
0,862
0,58
0,879
0,931
0,513
0,691
0,411
0,341
0,129
0,163
0,674
0,238
0,395
0,576
0,643
0,284
0,314
0,99
1,395
0,272
0,541
0,114
0,68
0,909
0,90
0,565
0,754
0,85
0,847
0,949
0,151
0,676
0,8
0,803
0,934
0,756
0,615
0,94
0,536
0,432
0,772
0,573
0,718
0,644
0,969
0,51
0,517
0,564
0,883
0,718
0,439
0,35
0,121
0,32
0,270
0,870
0,793
0,412
0,430
0,582
0,556
0,940
0,902
0,304
0,628
0,803
0,424
0,492
0,479
0,637
0,663
0,206
0,162
0,514
0,802
0,540
0,676
0,422
0,817
0,172
0,316
0,717
0,748
0,709
0,953
0,757
0,340
0,123
0,47
0,581
0,772
0,724
0,837
0,643
0,165
0,623
0,599
0,637
0,883
0,35
0,731
0,40
0,303
0,19
0,612
0,371
0,322
0,104
0,395
0,943
1,532
0,838
0,708
0,443
0,824
0,430
0,411
0,791
0,147
0,389
0,891
0,457
0,177
0,976
0,163
0,576
0,303
0,848
0,17
0,722
0,241
0,583
0,939
0,22
0,984
0,418
0,813
0,319
0,881
0,805
0,771
0,202
0,518
0,279
0,720
0,431
0,359
0,434
0,332
0,430
0,66
0,249
0,788
0,723
0,654
0,44
0,171
0,260
0,416
0,581
0,532
0,466
0,32
0,776
0,723
0,422
0,79
0,114
0,502
0,719
0,305
0,398
0,386
0,516
0,909
0,457
0,793
0,176
0,466
0,681
0,761
0,409
0,239
0,554
0,952
0,543
0,709
0,232
0,852
0,625
0,967
0,880
0,669
0,833
0,909
0,660
0,42
0,780
0,973
0,561
0,726
0,296
0,170
0,702
0,427
0,247
0,256
0,89
0,755
0,682
0,21
0,345
0,767
0,163
0,677
0,774
0,814
0,931
0,856
0,483
0,581
0,130
0,638
0,156
0,229
0,957
0,686
0,971
0,734
0,669
0,346
0,174
0,253
0,32
0,138
0,528
0,834
0,795
0,526
0,553
0,195
0,457
0,745
0,782
0,644
0,140
0,894
0,293
0,511
0,136
0,994
0,644
0,369
0,58
0,354
0,20
0,745
1,712
0,425
0,689
0,544
0,867
0,923
0,587
0,351
0,84
0,561
0,565
0,965
0,758
0,692
0,923
0,11
0,39
0,966
0,525
0,243
0,590
0,787
0,192
0,340
0,533
0,419
0,413
0,414
0,722
0,13
0,514
0,62
0,488
0,997
0,881
0,181
0,249
0,968
0,711
0,31
0,108
0,807
0,778
0,641
0,982
0,472
0,211
0,320
0,581
0,955
0,409
0,638
0,919
0,168
0,183
0,559
0,514
0,96
0,859
0,811
0,980
0,613
0,499
0,630
0,299
0,95
0,750
0,42
0,551
0,685
0,647
0,157
0,70
0,154
0,394
0,372
0,195
0,818
0,626
0,51
0,733
0,290
0,958
0,19
0,139
0,291
0,878
0,461
0,407
0,762
0,8
0,5
0,882
0,551
0,608
0,546
0,209
0,290
0,361
0,186
0,260
0,133
0,537
0,506
0,559
0,238
0,924
0,606
0,491
0,49
0,510
0,309
0,587
0,908
0,728
0,420
0,97
0,581
0,606
0,838
0,720
0,32
0,2
0,148
0,252
0,643
0,12
0,801
0,178
0,642
0,288
0,422
0,147
0,403
0,518
0,293
0,135
0,101
0,998
0,739
0,668
0,501
0,398
0,869
0,111
0,697
0,848
0,867
0,905
0,740
0,466
0,368
0,486
0,274
0,75
0,970
0,61
0,484
0,558
0,665
0,865
0,465
0,906
0,657
0,336
0,229
0,1000
0,872
0,939
0,129
0,463
0,73
0,53
0,869
0,795
0,530
0,768
0,992
0,763
0,474
0,801
0,151
0,334
0,949
0,453
0,279
0,200
0,824
0,694
0,797
0,459
0,349
0,886
0,686
0,323
0,454
0,926
0,142
0,551
0,957
0,13
0,630
0,706
0,809
0,190
0,292
0,76
0,673
0,769
0,892
0,799
0,212
0,74
0,596
0,836
0,492
0,682
0,205
0,323
0,911
0,880
0,473
0,366
0,312
0,433
0,654
0,788
0,320
0,841
0,83
0,411
0,574
0,896
0,484
0,288
0,740
0,684
0,941
0,504
0,668
0,173
0,966
0,230
0,794
0,684
0,574
0,473
0,14
0,788
0,640
0,818
0,353
0,32
0,85
0,57
0,566
0,838
0,564
0,516
0,746
0,934
0,66
0,344
0,760
0,712
0,761
0,394
0,252
0,446
0,267
0,156
0,431
0,938
0,725
0,274
0,175
0,702
0,504
0,52
0,837
0,800
0,951
0,368
0,456
0,282
0,442
0,693
0,833
0,819
0,174
0,879
0,428
0,963
0,758
0,617
0,819
0,401
0,719
0,527
0,238
0,358
0,145
0,29
0,726
0,178
0,284
0,708
0,751
0,14
0,80
0,833
0,472
0,401
0,963
0,922
0,187
0,137
0,658
0,944
0,309
0,318
0,249
0,358
0,200
0,836
0,418
0,653
0,421
0,338
0,505
0,909
0,291
0,449
0,164
0,981
0,895
0,745
0,662
0,85
0,822
0,547
0,705
0,254
0,552
0,908
0,312
0,150
0,920
0,55
0,150
0,878
0,985
0,653
0,549
0,93
0,548
0,603
0,87
0,402
0,925
0,297
0,464
0,853
0,233
0,357
0,848
0,163
0,862
0,230
0,296
0,422
0,653
0,974
0,974
0,239
0,185
0,610
0,847
0,812
1,508
0,805
0,286
0,146
0,373
0,743
0,311
0,526
0,502
0,955
0,481
0,60
0,516
0,368
0,678
0,151
0,71
0,897
0,797
0,995
0,537
0,997
1,44
0,590
0,686
0,700
0,492
0,151
0,606
0,502
0,148
0,370
0,678
0,517
0,922
0,312
0,739
0,610
0,270
0,512
0,526
0,875
0,114
0,672
0,652
0,837
0,100
0,708
0,653
0,800
0,441
0,774
0,633
0,599
0,648
0,878
0,411
0,904
0,389
0,189
0,433
0,183
0,653
0,876
0,262
0,341
0,913
0,523
0,678
0,614
0,310
0,444
0,827
0,275
0,838
0,65
0,417
0,731
0,985
0,316
0,782
0,7
0,381
0,527
0,565
0,661
0,657
0,860
0,374
0,700
0,325
0,888
0,342
0,127
0,516
0,397
0,927
0,782
0,646
0,272
0,251
0,843
0,283
0,91
0,177
0,654
0,769
0,683
0,758
0,309
0,692
0,918
0,575
0,603
0,113
0,695
0,564
0,548
0,951
0,993
0,368
0,234
0,196
0,410
0,379
0,414
0,702
0,403
0,253
0,80
0,244
0,893
0,28
1,495
0,347
0,442
0,95
0,146
0,908
0,318
0,601
0,926
0,644
0,465
0,717
0,494
0,291
0,794
0,460
0,289
0,225
0,303
0,656
0,143
0,174
0,21
0,418
0,861
0,122
0,546
0,530
1,795
0,367
0,568
0,641
1,389
0,102
0,364
0,552
0,353
0,862
0,403
0,830
0,718
0,267
0,929
0,322
0,350
0,20
0,402
0,478
0,841
0,781
0,871
0,769
0,190
0,591
0,925
0,30
0,517
0,878
0,153
0,60
0,62
0,147
0,512
0,927
0,253
0,445
0,319
0,255
0,728
0,352
0,705
0,365
0,277
0,153
0,998
0,924
0,530
0,526
0,865
0,304
0,413
0,902
0,617
0,63
0,752
0,732
0,514
0,424
0,848
0,612
0,96
0,813
0,339
1,607
0,814
0,762
0,685
0,206
0,843
0,364
0,52
0,129
0,314
0,792
0,502
0,297
0,829
0,998
0,224
1,866
0,111
0,576
0,291
0,971
0,203
0,795
0,631
0,74
0,422
0,719
0,966
0,814
0,291
0,135
0,676
0,386
0,436
0,37
0,681
0,598
0,770
0,636
0,56
0,109
0,547
0,271
0,81
0,5
0,249
0,664
0,411
0,14
0,169
0,598
0,187
0,158
0,505
0,173
0,40
0,294
0,698
0,500
0,484
0,517
0,332
0,38
0,14
0,863
0,721
0,590
0,207
0,794
0,1
0,827
0,870
0,303
0,250
0,649
0,323
0,233
0,765
0,634
0,53
0,178
0,458
0,412
0,573
0,994
0,667
0,44
0,402
0,887
0,263
0,71
0,883
0,872
0,412
0,712
0,4
0,813
0,464
0,972
0,651
0,156
0,641
0,547
0,543
0,278
0,350
0,907
0,958
0,455
0,698
0,639
0,250
0,479
0,588
0,848
0,734
0,886
0,631
0,408
0,605
0,44
0,875
0,628
0,149
0,961
0,626
0,359
0,881
0,811
0,127
0,32
0,669
0,922
0,759
0,231
0,296
0,827
0,201
0,63
0,924
0,79
0,504
0,195
0,280
0,873
0,319
0,771
0,848
0,415
0,968
0,520
0,550
