x,y
0,494
0,464
0,354
0,877
0,517
0,652
0,875
0,107
0,181
0,653
0,571
0,930
0,478
0,972
0,278
0,962
0,906
0,620
0,827
0,703
0,618
0,651
0,234
0,155
0,163
0,300
0,919
0,650
0,683
0,687
0,577
0,828
0,662
0,485
0,797
0,215
0,920
0,541
0,110
0,258
0,721
0,490
0,560
0,971
0,641
0,577
0,367
0,641
0,461
0,595
0,255
0,392
0,377
0,854
0,305
0,819
0,511
0,158
0,876
0,447
0,549
0,592
0,339
0,59
0,16
0,243
0,990
0,561
0,272
0,584
0,496
0,745
0,33
0,204
0,610
0,389
0,655
0,451
0,819
0,187
0,947
0,238
0,387
0,4
0,773
0,882
0,604
0,853
0,101
0,730
0,451
0,953
0,700
0,892
0,350
0,33
0,581
0,620
0,315
0,471
0,770
0,392
0,555
0,932
0,450
0,620
0,703
0,203
0,210
0,299
0,408
0,568
0,738
0,735
0,370
0,486
0,122
0,423
0,154
0,413
0,480
0,711
0,237
0,247
0,159
0,572
0,360
0,766
0,503
0,415
0,424
0,672
0,48
0,337
0,607
0,813
0,356
0,210
0,424
0,230
0,65
0,876
0,185
0,201
0,57
0,974
0,188
0,255
0,11
0,555
0,123
0,164
0,685
0,669
0,512
0,922
0,889
0,94
0,372
0,126
0,711
0,668
0,33
0,849
0,701
0,6
0,395
0,767
0,178
0,429
0,92
0,961
0,664
0,755
0,906
0,128
0,884
0,36
0,220
0,859
0,335
0,978
0,900
0,265
0,309
0,695
0,569
0,941
0,782
0,417
0,354
0,896
0,12
0,238
0,14
0,182
0,157
0,971
0,7
0,639
0,953
0,148
0,594
0,393
0,200
0,656
0,943
0,858
0,923
0,746
0,880
0,396
0,588
0,894
0,28
0,348
0,794
0,375
0,223
0,728
0,484
0,996
0,532
0,941
0,439
0,30
0,286
0,390
0,697
0,840
0,405
0,181
0,634
0,141
0,756
0,472
0,232
0,165
0,683
0,538
0,60
0,282
0,54
0,740
0,655
0,800
0,837
0,306
0,8
0,602
0,829
0,424
0,438
0,289
0,411
0,339
0,722
0,65
0,855
0,797
0,969
0,83
0,404
0,214
0,936
0,66
0,333
0,451
0,507
0,298
0,546
0,768
0,985
0,794
0,787
0,880
0,727
0,790
0,241
0,226
0,495
0,106
0,426
0,553
0,163
0,718
0,96
0,745
0,535
0,218
0,426
0,486
0,854
0,78
0,88
0,415
0,815
0,587
0,643
0,363
0,757
0,208
0,208
0,693
0,60
0,210
0,256
0,291
0,152
0,789
0,885
0,741
0,592
0,882
0,543
0,129
0,765
0,197
0,491
0,226
0,838
0,66
0,606
0,241
0,45
0,920
0,908
0,515
0,724
0,963
0,956
0,187
0,96
